14:03:13.757 [commands] INFO  GenCommands - 13.751 5:3:8
14:03:42.611 [main] INFO  UserInput - 42.604 1:2:3
14:03:43.119 [main] INFO  UserInput - 42.606 1:2:3
14:03:43.627 [main] INFO  UserInput - 42.609 1:2:3
14:04:33.466 [commands] INFO  GenCommands - 33.461 7:4:7
14:05:02.722 [main] INFO  UserInput - Changed time interval: 0
14:05:06.446 [main] INFO  UserInput - Changed time interval: 5
14:05:06.447 [commands] INFO  GenCommands - 06.447 7:3:8
14:05:06.454 [commands] INFO  GenCommands - 06.454 5:3:6
14:05:06.461 [commands] INFO  GenCommands - 06.461 4:0:2
14:05:06.467 [commands] INFO  GenCommands - 06.467 1:3:7
14:05:06.473 [commands] INFO  GenCommands - 06.473 7:2:3
14:05:06.480 [commands] INFO  GenCommands - 06.480 1:6:7
14:05:06.487 [commands] INFO  GenCommands - 06.487 8:0:3
14:05:06.494 [commands] INFO  GenCommands - 06.494 4:7:1
14:05:06.500 [commands] INFO  GenCommands - 06.500 3:5:3
14:05:06.507 [commands] INFO  GenCommands - 06.507 4:8:7
14:05:06.513 [commands] INFO  GenCommands - 06.513 7:5:2
14:05:06.520 [commands] INFO  GenCommands - 06.520 1:5:3
14:05:06.526 [commands] INFO  GenCommands - 06.526 7:4:6
14:05:06.532 [commands] INFO  GenCommands - 06.532 0:5:1
14:05:06.538 [commands] INFO  GenCommands - 06.538 5:1:4
14:05:06.544 [commands] INFO  GenCommands - 06.544 4:2:2
14:05:06.550 [commands] INFO  GenCommands - 06.550 6:0:3
14:05:06.557 [commands] INFO  GenCommands - 06.557 7:8:4
14:05:06.563 [commands] INFO  GenCommands - 06.563 6:5:7
14:05:06.570 [commands] INFO  GenCommands - 06.570 2:1:6
14:05:06.577 [commands] INFO  GenCommands - 06.577 2:8:3
14:05:06.583 [commands] INFO  GenCommands - 06.583 0:7:1
14:05:06.590 [commands] INFO  GenCommands - 06.590 5:0:6
14:05:06.597 [commands] INFO  GenCommands - 06.597 4:8:4
14:05:06.604 [commands] INFO  GenCommands - 06.604 7:3:7
14:05:06.610 [commands] INFO  GenCommands - 06.610 2:5:7
14:05:06.620 [commands] INFO  GenCommands - 06.620 5:8:2
14:05:06.627 [commands] INFO  GenCommands - 06.627 8:3:3
14:05:06.633 [commands] INFO  GenCommands - 06.633 2:5:8
14:05:06.640 [commands] INFO  GenCommands - 06.640 0:6:6
14:05:06.646 [commands] INFO  GenCommands - 06.646 3:6:3
14:05:06.654 [commands] INFO  GenCommands - 06.654 7:6:5
14:05:06.661 [commands] INFO  GenCommands - 06.661 8:4:1
14:05:06.667 [commands] INFO  GenCommands - 06.667 4:3:2
14:05:06.673 [commands] INFO  GenCommands - 06.673 8:5:3
14:05:06.679 [commands] INFO  GenCommands - 06.679 0:5:1
14:05:06.686 [commands] INFO  GenCommands - 06.686 3:4:1
14:05:06.695 [commands] INFO  GenCommands - 06.695 3:5:3
14:05:06.702 [commands] INFO  GenCommands - 06.702 1:8:8
14:05:06.709 [commands] INFO  GenCommands - 06.709 8:1:1
14:05:06.715 [commands] INFO  GenCommands - 06.715 4:1:7
14:05:06.721 [commands] INFO  GenCommands - 06.721 0:2:2
14:05:06.729 [commands] INFO  GenCommands - 06.729 0:7:3
14:05:06.736 [commands] INFO  GenCommands - 06.736 8:6:6
14:05:06.742 [commands] INFO  GenCommands - 06.742 3:1:2
14:05:06.749 [commands] INFO  GenCommands - 06.749 4:8:8
14:05:06.755 [commands] INFO  GenCommands - 06.755 8:6:2
14:05:06.762 [commands] INFO  GenCommands - 06.762 2:6:7
14:05:06.770 [commands] INFO  GenCommands - 06.770 2:1:4
14:05:06.776 [commands] INFO  GenCommands - 06.776 1:2:1
14:05:06.786 [commands] INFO  GenCommands - 06.786 4:6:1
14:05:06.792 [commands] INFO  GenCommands - 06.792 6:0:8
14:05:06.799 [commands] INFO  GenCommands - 06.799 2:8:3
14:05:06.805 [commands] INFO  GenCommands - 06.805 6:1:1
14:05:06.812 [commands] INFO  GenCommands - 06.812 0:2:5
14:05:06.818 [commands] INFO  GenCommands - 06.818 7:0:8
14:05:06.825 [commands] INFO  GenCommands - 06.825 1:0:4
14:05:06.832 [commands] INFO  GenCommands - 06.832 7:0:5
14:05:06.839 [commands] INFO  GenCommands - 06.839 1:5:5
14:05:06.846 [commands] INFO  GenCommands - 06.846 4:0:4
14:05:06.852 [commands] INFO  GenCommands - 06.852 8:1:6
14:05:06.859 [commands] INFO  GenCommands - 06.859 3:6:2
14:05:06.865 [commands] INFO  GenCommands - 06.865 3:8:2
14:05:06.872 [commands] INFO  GenCommands - 06.872 6:8:4
14:05:06.880 [commands] INFO  GenCommands - 06.880 3:6:1
14:05:06.888 [commands] INFO  GenCommands - 06.888 6:1:6
14:05:06.895 [commands] INFO  GenCommands - 06.895 2:6:4
14:05:06.902 [commands] INFO  GenCommands - 06.902 2:6:3
14:05:06.908 [commands] INFO  GenCommands - 06.908 7:5:3
14:05:06.915 [commands] INFO  GenCommands - 06.915 0:5:7
14:05:06.921 [commands] INFO  GenCommands - 06.921 0:6:1
14:05:06.928 [commands] INFO  GenCommands - 06.928 7:5:8
14:05:06.935 [commands] INFO  GenCommands - 06.935 3:7:8
14:05:06.941 [commands] INFO  GenCommands - 06.941 6:4:8
14:05:06.947 [commands] INFO  GenCommands - 06.947 5:0:4
14:05:06.955 [commands] INFO  GenCommands - 06.955 5:2:1
14:05:06.962 [commands] INFO  GenCommands - 06.962 2:5:5
14:05:06.970 [commands] INFO  GenCommands - 06.970 3:6:3
14:05:06.976 [commands] INFO  GenCommands - 06.976 5:6:1
14:05:06.982 [commands] INFO  GenCommands - 06.982 3:7:8
14:05:06.988 [commands] INFO  GenCommands - 06.988 1:7:8
14:05:06.994 [commands] INFO  GenCommands - 06.994 0:6:7
14:05:07.001 [commands] INFO  GenCommands - 07.001 6:7:3
14:05:07.007 [commands] INFO  GenCommands - 07.007 6:7:2
14:05:07.015 [commands] INFO  GenCommands - 07.015 0:8:4
14:05:07.022 [commands] INFO  GenCommands - 07.022 2:6:3
14:05:07.028 [commands] INFO  GenCommands - 07.028 0:2:7
14:05:07.036 [commands] INFO  GenCommands - 07.036 0:6:6
14:05:07.042 [commands] INFO  GenCommands - 07.042 4:0:3
14:05:07.050 [commands] INFO  GenCommands - 07.050 2:1:7
14:05:07.056 [commands] INFO  GenCommands - 07.056 0:3:2
14:05:07.062 [commands] INFO  GenCommands - 07.062 0:3:2
14:05:07.069 [commands] INFO  GenCommands - 07.069 2:8:3
14:05:07.076 [commands] INFO  GenCommands - 07.076 3:8:4
14:05:07.084 [commands] INFO  GenCommands - 07.084 6:8:7
14:05:07.090 [commands] INFO  GenCommands - 07.090 8:4:1
14:05:07.097 [commands] INFO  GenCommands - 07.097 5:0:5
14:05:07.103 [commands] INFO  GenCommands - 07.103 8:2:4
14:05:07.110 [commands] INFO  GenCommands - 07.110 5:3:1
14:05:07.116 [commands] INFO  GenCommands - 07.116 4:2:8
14:05:07.122 [commands] INFO  GenCommands - 07.122 5:6:6
14:05:07.128 [commands] INFO  GenCommands - 07.128 3:2:1
14:05:07.135 [commands] INFO  GenCommands - 07.135 0:8:3
14:05:07.141 [commands] INFO  GenCommands - 07.141 6:8:3
14:05:07.148 [commands] INFO  GenCommands - 07.148 2:3:7
14:05:07.155 [commands] INFO  GenCommands - 07.155 2:6:8
14:05:07.161 [commands] INFO  GenCommands - 07.161 8:3:6
14:05:07.167 [commands] INFO  GenCommands - 07.167 0:4:4
14:05:07.174 [commands] INFO  GenCommands - 07.174 4:8:5
14:05:07.181 [commands] INFO  GenCommands - 07.181 7:0:3
14:05:07.188 [commands] INFO  GenCommands - 07.188 6:2:5
14:05:07.196 [commands] INFO  GenCommands - 07.196 4:8:8
14:05:07.202 [commands] INFO  GenCommands - 07.202 1:6:1
14:05:07.209 [commands] INFO  GenCommands - 07.209 1:4:1
14:05:07.217 [commands] INFO  GenCommands - 07.217 4:6:6
14:05:07.224 [commands] INFO  GenCommands - 07.224 3:1:2
14:05:07.231 [commands] INFO  GenCommands - 07.231 7:0:2
14:05:07.239 [commands] INFO  GenCommands - 07.239 2:3:4
14:05:07.246 [commands] INFO  GenCommands - 07.246 8:4:4
14:05:07.253 [commands] INFO  GenCommands - 07.253 5:7:1
14:05:07.259 [commands] INFO  GenCommands - 07.259 2:1:7
14:05:07.265 [commands] INFO  GenCommands - 07.265 3:2:6
14:05:07.272 [commands] INFO  GenCommands - 07.272 3:0:2
14:05:07.279 [commands] INFO  GenCommands - 07.279 8:4:7
14:05:07.287 [commands] INFO  GenCommands - 07.287 1:4:7
14:05:07.296 [commands] INFO  GenCommands - 07.296 5:2:5
14:05:07.303 [commands] INFO  GenCommands - 07.303 3:6:2
14:05:07.309 [commands] INFO  GenCommands - 07.309 5:6:5
14:05:07.316 [commands] INFO  GenCommands - 07.316 7:5:8
14:05:07.322 [commands] INFO  GenCommands - 07.322 8:6:2
14:05:07.328 [commands] INFO  GenCommands - 07.328 0:3:2
14:05:07.334 [commands] INFO  GenCommands - 07.334 1:7:4
14:05:07.342 [commands] INFO  GenCommands - 07.342 8:1:7
14:05:07.350 [commands] INFO  GenCommands - 07.350 3:7:1
14:05:07.356 [commands] INFO  GenCommands - 07.356 2:1:2
14:05:07.363 [commands] INFO  GenCommands - 07.363 8:1:6
